Stock,Period,Mean,Sharpe Ratio,Beta
NVDA,3mo,0.00027168178243342856,-12.57515901961138,1.8168445297115834
NVDA,6mo,0.0015631614029588186,-8.854648033331202,2.616106775742262
NVDA,1y,0.004065598438331244,-7.564821377613231,2.669382242346012
NVDA,2y,0.004626730597426197,-7.661747590084865,2.3763517884850596
NVDA,5y,0.0030499795916746255,-7.898285746207039,1.7593913476381724
COST,3mo,0.001039415279302883,-27.775258126806143,0.6700976960092189
COST,6mo,0.0010147392413598104,-25.905725654230217,0.7535643381848375
COST,1y,0.0013566075095069808,-24.761778750569686,0.8124895778029101
COST,2y,0.0014869057284369303,-25.45865795764935,0.7725634064067235
COST,5y,0.001061064171313643,-19.760942273044268,0.7231867735573441
AAPL,3mo,-0.0002623384195875709,-26.39284959779148,0.7549105694276547
AAPL,6mo,0.0003057918819029322,-23.94690390662065,0.8505398427802316
AAPL,1y,0.0009119334040977093,-21.08356319584295,0.941335527772984
AAPL,2y,0.0011712271631777167,-22.020175105398582,1.038948234815281
AAPL,5y,0.0010741235765143334,-15.018018390912236,1.172952085794686
VOO,3mo,0.00045302285789389126,-36.5682119448637,1.0000000000000002
VOO,6mo,0.0007157624162492624,-33.36034662540884,1.0000000000000002
VOO,1y,0.0009888542747238927,-37.41945262241598,1.0
VOO,2y,0.000934256378883088,-37.661821170167016,0.9999999999999998
VOO,5y,0.0006228761624431751,-22.883482041879258,1.0
